"","Method","Sequence","MSE"
"141","Quadratic-ALM",21,4.05687991981817
"142","Quadratic-ALM",22,3.9995755772352
"143","Quadratic-ALM",23,3.90414706246653
"144","Quadratic-ALM",24,3.80846131385905
"145","Quadratic-ALM",25,3.74802396125347
"146","Quadratic-ALM",26,3.7117622841254
"147","Quadratic-ALM",27,3.65300589409189
"148","Quadratic-ALM",28,3.60556525034462
"149","Quadratic-ALM",29,3.58019042271281
"150","Quadratic-ALM",30,3.52210129764667
"151","Quadratic-ALM",31,3.50226317776047
"152","Quadratic-ALM",32,3.46300971815337
"153","Quadratic-ALM",33,3.41225890058943
"154","Quadratic-ALM",34,3.37378885065518
"155","Quadratic-ALM",35,3.35734937654792
"156","Quadratic-ALM",36,3.33312209397354
"157","Quadratic-ALM",37,3.29344340325912
"158","Quadratic-ALM",38,3.28047936602187
"159","Quadratic-ALM",39,3.26056680047243
"160","Quadratic-ALM",40,3.23908132475548
"161","Quadratic-ALC",1,3659.19762353438
"162","Quadratic-ALC",2,56.3772909216178
"163","Quadratic-ALC",3,14.7783515321407
"164","Quadratic-ALC",4,10.6107715511669
"165","Quadratic-ALC",5,8.78775827298339
"166","Quadratic-ALC",6,7.78950797535946
"167","Quadratic-ALC",7,7.13440165353025
"168","Quadratic-ALC",8,6.7757916940287
"169","Quadratic-ALC",9,6.59723462261046
"170","Quadratic-ALC",10,6.37038119718747
"171","Quadratic-ALC",11,6.23609331364291
"172","Quadratic-ALC",12,6.05314111562997
"173","Quadratic-ALC",13,6.00656217840774
"174","Quadratic-ALC",14,5.91479875201279
"175","Quadratic-ALC",15,5.85133344399382
"176","Quadratic-ALC",16,5.78661014551534
"177","Quadratic-ALC",17,5.76770866559016
"178","Quadratic-ALC",18,5.71232404057727
"179","Quadratic-ALC",19,5.66860691952454
"180","Quadratic-ALC",20,5.62176572483106
"181","Quadratic-ALC",21,5.61429132354278
"182","Quadratic-ALC",22,5.61878996554726
"183","Quadratic-ALC",23,5.59374797887821
"184","Quadratic-ALC",24,5.57091869295516
"185","Quadratic-ALC",25,5.52581024267972
"186","Quadratic-ALC",26,5.48251277267146
"187","Quadratic-ALC",27,5.41781929866927
"188","Quadratic-ALC",28,5.40298512558533
"189","Quadratic-ALC",29,5.37053363201638
"190","Quadratic-ALC",30,5.33851417520625
"191","Quadratic-ALC",31,5.32304168962207
"192","Quadratic-ALC",32,5.32112770622203
"193","Quadratic-ALC",33,5.30058669537627
