"","Method","Sequence","MSE"
"144","Quadratic-UCB",24,1.10826624
"145","Quadratic-UCB",25,1.11847872
"146","Quadratic-UCB",26,1.04828032
"147","Quadratic-UCB",27,1.07283136
"148","Quadratic-UCB",28,1.02527808
"149","Quadratic-UCB",29,1.039264
"150","Quadratic-UCB",30,1.045616
"151","Quadratic-UCB",31,1.04227712
"152","Quadratic-UCB",32,1.06611456
"153","Quadratic-UCB",33,1.01295552
"154","Quadratic-UCB",34,1.01930496
"155","Quadratic-UCB",35,1.03507072
"156","Quadratic-UCB",36,1.02320128
"157","Quadratic-UCB",37,1.09056192
"158","Quadratic-UCB",38,1.03235456
"159","Quadratic-UCB",39,1.01781376
"160","Quadratic-UCB",40,1.02185472
"161","Quadratic-Thompson",1,4.51476672
"162","Quadratic-Thompson",2,3.75552384
"163","Quadratic-Thompson",3,3.15710144
"164","Quadratic-Thompson",4,2.49458048
"165","Quadratic-Thompson",5,2.42593344
"166","Quadratic-Thompson",6,2.21619968
"167","Quadratic-Thompson",7,2.13291904
"168","Quadratic-Thompson",8,1.9442752
"169","Quadratic-Thompson",9,1.84497856
"170","Quadratic-Thompson",10,1.71662144
"171","Quadratic-Thompson",11,1.78463872
"172","Quadratic-Thompson",12,1.77215104
"173","Quadratic-Thompson",13,1.83001792
"174","Quadratic-Thompson",14,1.73258112
"175","Quadratic-Thompson",15,1.87668032
"176","Quadratic-Thompson",16,1.68220352
"177","Quadratic-Thompson",17,1.61292352
"178","Quadratic-Thompson",18,1.67488384
"179","Quadratic-Thompson",19,1.57612032
"180","Quadratic-Thompson",20,1.58625152
"181","Quadratic-Thompson",21,1.50911744
"182","Quadratic-Thompson",22,1.51091904
"183","Quadratic-Thompson",23,1.60804416
"184","Quadratic-Thompson",24,1.6059936
"185","Quadratic-Thompson",25,1.4979232
"186","Quadratic-Thompson",26,1.51857088
"187","Quadratic-Thompson",27,1.52260288
"188","Quadratic-Thompson",28,1.52660224
"189","Quadratic-Thompson",29,1.50702208
"190","Quadratic-Thompson",30,1.57046848
"191","Quadratic-Thompson",31,1.49059648
"192","Quadratic-Thompson",32,1.46801408
"193","Quadratic-Thompson",33,1.5435744
"194","Quadratic-Thompson",34,1.47856256
"195","Quadratic-Thompson",35,1.48818112
"196","Quadratic-Thompson",36,1.4956416
"197","Quadratic-Thompson",37,1.4597536
"198","Quadratic-Thompson",38,1.48886016
"199","Quadratic-Thompson",39,1.51173696
"200","Quadratic-Thompson",40,1.50198592
"201","Cubic-UCB",1,3.9497344
"202","Cubic-UCB",2,2.90273024
"203","Cubic-UCB",3,1.60884864
"204","Cubic-UCB",4,1.30488576
"205","Cubic-UCB",5,1.1491424
"206","Cubic-UCB",6,1.27490752
"207","Cubic-UCB",7,1.15148096
"208","Cubic-UCB",8,0.92981056
"209","Cubic-UCB",9,1.04823424
"210","Cubic-UCB",10,0.88595776
"211","Cubic-UCB",11,1.05248576
"212","Cubic-UCB",12,0.8984512
"213","Cubic-UCB",13,0.850511999999999
"214","Cubic-UCB",14,0.8437504
"215","Cubic-UCB",15,0.89969024
"216","Cubic-UCB",16,0.79642688
"217","Cubic-UCB",17,0.8215744
"218","Cubic-UCB",18,0.79666496
"219","Cubic-UCB",19,0.81578432
"220","Cubic-UCB",20,0.78262144
"221","Cubic-UCB",21,0.78685568
"222","Cubic-UCB",22,0.75844608
"223","Cubic-UCB",23,0.76187776
"224","Cubic-UCB",24,0.74422336
"225","Cubic-UCB",25,0.73792128
"226","Cubic-UCB",26,0.71272448
"227","Cubic-UCB",27,0.6930048
"228","Cubic-UCB",28,0.67267456
"229","Cubic-UCB",29,0.695936
"230","Cubic-UCB",30,0.63735616
"231","Cubic-UCB",31,0.65879168
"232","Cubic-UCB",32,0.5850464
"233","Cubic-UCB",33,0.60922304
"234","Cubic-UCB",34,0.57502976
"235","Cubic-UCB",35,0.58327808
"236","Cubic-UCB",36,0.57170176
"237","Cubic-UCB",37,0.56718976
"238","Cubic-UCB",38,0.54821056
"239","Cubic-UCB",39,0.52462848
"240","Cubic-UCB",40,0.55317568
"241","Cubic-Thompson",1,4.05159616
"242","Cubic-Thompson",2,3.50420928
"243","Cubic-Thompson",3,2.90721792
"244","Cubic-Thompson",4,2.28670464
"245","Cubic-Thompson",5,2.04968704
"246","Cubic-Thompson",6,2.12485824
"247","Cubic-Thompson",7,2.01939264
"248","Cubic-Thompson",8,1.94054976
"249","Cubic-Thompson",9,1.77286656
"250","Cubic-Thompson",10,1.77407872
"251","Cubic-Thompson",11,1.70017152
"252","Cubic-Thompson",12,1.75838656
"253","Cubic-Thompson",13,1.67443456
"254","Cubic-Thompson",14,1.61359936
"255","Cubic-Thompson",15,1.57160064
"256","Cubic-Thompson",16,1.6360256
"257","Cubic-Thompson",17,1.67258432
"258","Cubic-Thompson",18,1.61086208
"259","Cubic-Thompson",19,1.56778496
"260","Cubic-Thompson",20,1.52776704
"261","Cubic-Thompson",21,1.52909824
"262","Cubic-Thompson",22,1.5404192
"263","Cubic-Thompson",23,1.48905344
"264","Cubic-Thompson",24,1.53299904
"265","Cubic-Thompson",25,1.44212224
"266","Cubic-Thompson",26,1.4735584
"267","Cubic-Thompson",27,1.41425152
"268","Cubic-Thompson",28,1.4497536
"269","Cubic-Thompson",29,1.48364736
"270","Cubic-Thompson",30,1.47189632
"271","Cubic-Thompson",31,1.4244192
"272","Cubic-Thompson",32,1.38086144
"273","Cubic-Thompson",33,1.4208704
"274","Cubic-Thompson",34,1.40774784
"275","Cubic-Thompson",35,1.41508736
"276","Cubic-Thompson",36,1.42419136
"277","Cubic-Thompson",37,1.39559232
"278","Cubic-Thompson",38,1.42683648
"279","Cubic-Thompson",39,1.39328384
"280","Cubic-Thompson",40,1.40969728
"281","Tree-UCB",1,3.95901056
"282","Tree-UCB",2,3.92430528
"283","Tree-UCB",3,3.91157504
