,alpha,mu,weight
164,0.02,0.84227419282,0.66
165,0.02,1.01968202536,0.67
166,0.02,1.24881594786,0.68
167,0.02,1.53275282192,0.69
168,0.02,1.87051721032,0.7
169,0.02,2.25729107122,0.71
170,0.02,2.68502674473,0.72
171,0.02,3.14332344681,0.73
172,0.02,3.62043132522,0.74
173,0.02,4.10422671688,0.75
174,0.02,4.58302440852,0.76
175,0.02,5.04627212064,0.77
176,0.02,5.48523608918,0.78
177,0.02,5.89343055411,0.79
178,0.02,6.26664422107,0.8
179,0.02,6.60265005685,0.81
180,0.02,6.90075555248,0.82
181,0.02,7.16136317321,0.83
182,0.02,7.38569193178,0.84
183,0.02,7.57577739708,0.85
184,0.02,7.73482807799,0.86
185,0.02,7.86792899446,0.87
186,0.02,7.98288844008,0.88
187,0.02,8.09082420825,0.89
188,0.02,8.20610450155,0.9
189,0.02,8.34551393997,0.91
190,0.02,8.52681134624,0.92
191,0.02,8.76702118276,0.93
192,0.02,9.08081821434,0.94
193,0.02,9.47927517677,0.95
194,0.02,9.96911810621,0.96
195,0.02,10.5525235755,0.97
196,0.02,11.2274160307,0.98
197,0.02,11.9881810541,0.99
198,0.03,10.2609908615,0.01
199,0.03,9.62949034801,0.02
200,0.03,9.03357576214,0.03
201,0.03,8.46791017608,0.04
202,0.03,7.9259005401,0.05
203,0.03,7.40088199073,0.06
204,0.03,6.88724495474,0.07
205,0.03,6.38150183292,0.08
206,0.03,5.88330647888,0.09
207,0.03,5.39637164122,0.1
208,0.03,4.92888210769,0.11
209,0.03,4.49230272127,0.12
210,0.03,4.09804750448,0.13
211,0.03,3.75385457416,0.14
212,0.03,3.4620731732,0.15
213,0.03,3.22001797893,0.16
214,0.03,3.02132755052,0.17
215,0.03,2.85750923552,0.18
216,0.03,2.71937443401,0.19
217,0.03,2.59838930628,0.2
218,0.03,2.48782072961,0.21
219,0.03,2.38312265148,0.22
220,0.03,2.28148548483,0.23
221,0.03,2.18147486932,0.24
222,0.03,2.08310030594,0.25
223,0.03,1.98799814254,0.26
224,0.03,1.89935583682,0.27
225,0.03,1.82118734339,0.28
226,0.03,1.75708582237,0.29
227,0.03,1.7088049653,0.3
228,0.03,1.6751254622,0.31
229,0.03,1.65156990676,0.32
230,0.03,1.63125484442,0.33
231,0.03,1.6065833996,0.34
232,0.03,1.57111817399,0.35
233,0.03,1.52095099214,0.36
234,0.03,1.45557711209,0.37
235,0.03,1.37844319742,0.38
236,0.03,1.29637178558,0.39
237,0.03,1.21720931137,0.4
238,0.03,1.14687928007,0.41
239,0.03,1.08740120463,0.42
240,0.03,1.036594415,0.43
241,0.03,0.989410873578,0.44
242,0.03,0.94024962481,0.45
243,0.03,0.885605637011,0.46
244,0.03,0.825806094556,0.47
245,0.03,0.764461301807,0.48
246,0.03,0.7063389827,0.49
247,0.03,0.655170450768,0.5
248,0.03,0.612374824623,0.51
249,0.03,0.577028822161,0.52
250,0.03,0.546766144779,0.53
251,0.03,0.519083476396,0.54
252,0.03,0.492391605524,0.55
253,0.03,0.466479235385,0.56
254,0.03,0.442527841405,0.57
255,0.03,0.422797633275,0.58
256,0.03,0.410046216336,0.59
257,0.03,0.407087595026,0.6
258,0.03,0.416763323033,0.61
259,0.03,0.442273982563,0.62
260,0.03,0.487738033612,0.63
261,0.03,0.55871742005,0.64
262,0.03,0.662346900457,0.65
263,0.03,0.806837960733,0.66
264,0.03,1.00024470399,0.67
265,0.03,1.24867411973,0.68
266,0.03,1.55466969884,0.69
267,0.03,1.91644190106,0.7
268,0.03,2.32794995727,0.71
269,0.03,2.77956069111,0.72
270,0.03,3.25907070546,0.73
271,0.03,3.75290747372,0.74
272,0.03,4.24733105692,0.75
273,0.03,4.72949855672,0.76
274,0.03,5.1883544559,0.77
275,0.03,5.61531398853,0.78
276,0.03,6.00457496862,0.79
277,0.03,6.3529619999,0.8
278,0.03,6.65939714028,0.81
279,0.03,6.92419851004,0.82
280,0.03,7.1484333411,0.83
281,0.03,7.33352335806,0.84
282,0.03,7.48124716849,0.85
283,0.03,7.59425051775,0.86
284,0.03,7.67711552934,0.87
285,0.03,7.73774003545,0.88
286,0.03,7.78836682329,0.89
287,0.03,7.84563094542,0.9
288,0.03,7.92946008792,0.91
289,0.03,8.06113416139,0.92
290,0.03,8.26103988971,0.93
291,0.03,8.54662852593,0.94
292,0.03,8.93091129088,0.95
293,0.03,9.42163419408,0.96
294,0.03,10.0211275744,0.97
295,0.03,10.7267368876,0.98
296,0.03,11.5316921012,0.99
297,0.04,13.4736034738,0.01
298,0.04,12.6892337243,0.02
299,0.04,11.928612852,0.03
300,0.04,11.1886177567,0.04
301,0.04,10.4652090559,0.05
302,0.04,9.75448789344,0.06
303,0.04,9.0537413467,0.07
304,0.04,8.36242396829,0.08
305,0.04,7.68303342079,0.09
306,0.04,7.02173272753,0.1
307,0.04,6.3883036644,0.11
308,0.04,5.79481356226,0.12
309,0.04,5.25296020833,0.13
310,0.04,4.77125580187,0.14
311,0.04,4.35342075216,0.15
312,0.04,3.99832094731,0.16
313,0.04,3.700905005,0.17
314,0.04,3.45351759542,0.18
315,0.04,3.24725172793,0.19
316,0.04,3.07321223566,0.2
317,0.04,2.92351604656,0.21
318,0.04,2.79175969334,0.22
319,0.04,2.67299461464,0.23
320,0.04,2.56365870374,0.24
321,0.04,2.46171172652,0.25
322,0.04,2.36682116521,0.26
323,0.04,2.28023736433,0.27
324,0.04,2.20403749256,0.28
325,0.04,2.13985729153,0.29
326,0.04,2.08748447201,0.3
327,0.04,2.04381303447,0.31
328,0.04,2.00271084803,0.32
329,0.04,1.95614327859,0.33
330,0.04,1.89640803503,0.34
331,0.04,1.81863474551,0.35
332,0.04,1.72221668891,0.36
333,0.04,1.61068825109,0.37
334,0.04,1.4907807511,0.38
335,0.04,1.37097195018,0.39
336,0.04,1.2594103418,0.4
337,0.04,1.16179025967,0.41
338,0.04,1.08006975353,0.42
339,0.04,1.01249583835,0.43
340,0.04,0.95483157234,0.44
341,0.04,0.902243930442,0.45
342,0.04,0.851139935118,0.46
343,0.04,0.800243579228,0.47
344,0.04,0.750498814319,0.48
345,0.04,0.703974827883,0.49
346,0.04,0.662425298374,0.5
347,0.04,0.626187028578,0.51
348,0.04,0.593806467575,0.52
349,0.04,0.562602299594,0.53
350,0.04,0.530096111415,0.54
351,0.04,0.495296789546,0.55
352,0.04,0.459145715868,0.56
353,0.04,0.42422038607,0.57
354,0.04,0.394066578714,0.58
355,0.04,0.372454737862,0.59
356,0.04,0.36291004861,0.6
357,0.04,0.368720487036,0.61
358,0.04,0.393309060111,0.62
359,0.04,0.440849886805,0.63
360,0.04,0.516930667511,0.64
361,0.04,0.628829761353,0.65
362,0.04,0.784910657913,0.66
363,0.04,0.993131065262,0.67
364,0.04,1.25929643881,0.68
365,0.04,1.58550010919,0.69
366,0.04,1.96920398534,0.7
367,0.04,2.40318964673,0.71
368,0.04,2.87624294688,0.72
369,0.04,3.37431919005,0.73
370,0.04,3.88195579882,0.74
371,0.04,4.38373889822,0.75
372,0.04,4.86566213295,0.76
373,0.04,5.31624225824,0.77
374,0.04,5.72724709798,0.78
375,0.04,6.09388453124,0.79
376,0.04,6.41440811758,0.8
377,0.04,6.6892715317,0.81
378,0.04,6.92008979272,0.82
379,0.04,7.10870698319,0.83
380,0.04,7.25663920576,0.84
381,0.04,7.36507534433,0.85
382,0.04,7.43556255362,0.86
383,0.04,7.47154866183,0.87
384,0.04,7.48054702063,0.88
385,0.04,7.47581627301,0.89
386,0.04,7.47653262272,0.9
