"","Method","Sequence","MSE"
"154","Quadratic-UCB",34,0.7392
"155","Quadratic-UCB",35,0.8253
"156","Quadratic-UCB",36,0.7308
"157","Quadratic-UCB",37,0.7525
"158","Quadratic-UCB",38,0.7469
"159","Quadratic-UCB",39,0.7546
"160","Quadratic-UCB",40,0.707
"161","Quadratic-Thompson",1,3.4363
"162","Quadratic-Thompson",2,2.9505
"163","Quadratic-Thompson",3,2.7783
"164","Quadratic-Thompson",4,2.0496
"165","Quadratic-Thompson",5,2.0202
"166","Quadratic-Thompson",6,1.8571
"167","Quadratic-Thompson",7,1.6296
"168","Quadratic-Thompson",8,1.5274
"169","Quadratic-Thompson",9,1.4245
"170","Quadratic-Thompson",10,1.4322
"171","Quadratic-Thompson",11,1.3041
"172","Quadratic-Thompson",12,1.3083
"173","Quadratic-Thompson",13,1.3832
"174","Quadratic-Thompson",14,1.2089
"175","Quadratic-Thompson",15,1.2411
"176","Quadratic-Thompson",16,1.2649
"177","Quadratic-Thompson",17,1.3384
"178","Quadratic-Thompson",18,1.19
"179","Quadratic-Thompson",19,1.1564
"180","Quadratic-Thompson",20,1.1963
"181","Quadratic-Thompson",21,1.2341
"182","Quadratic-Thompson",22,1.1445
"183","Quadratic-Thompson",23,1.1627
"184","Quadratic-Thompson",24,1.134
"185","Quadratic-Thompson",25,1.1515
"186","Quadratic-Thompson",26,1.1165
"187","Quadratic-Thompson",27,1.1221
"188","Quadratic-Thompson",28,1.0675
"189","Quadratic-Thompson",29,1.0885
"190","Quadratic-Thompson",30,1.0815
"191","Quadratic-Thompson",31,1.0738
"192","Quadratic-Thompson",32,1.0479
"193","Quadratic-Thompson",33,1.0864
"194","Quadratic-Thompson",34,1.106
"195","Quadratic-Thompson",35,1.0871
"196","Quadratic-Thompson",36,1.1053
"197","Quadratic-Thompson",37,1.0339
"198","Quadratic-Thompson",38,1.0584
"199","Quadratic-Thompson",39,1.0045
"200","Quadratic-Thompson",40,1.0192
"201","Cubic-UCB",1,3.01
"202","Cubic-UCB",2,2.422
"203","Cubic-UCB",3,1.3342
"204","Cubic-UCB",4,1.2866
"205","Cubic-UCB",5,0.8302
"206","Cubic-UCB",6,0.6965
