"","Method","Sequence","MSE"
"143","Quadratic-ALM",23,0.917960792883557
"144","Quadratic-ALM",24,0.849847781725895
"145","Quadratic-ALM",25,0.812420836667687
"146","Quadratic-ALM",26,0.748851680714532
"147","Quadratic-ALM",27,0.698984411556041
"148","Quadratic-ALM",28,0.653734729016732
"149","Quadratic-ALM",29,0.61794242365466
"150","Quadratic-ALM",30,0.58125430014252
"151","Quadratic-ALM",31,0.555990731822323
"152","Quadratic-ALM",32,0.529456095539147
"153","Quadratic-ALM",33,0.503450812698917
"154","Quadratic-ALM",34,0.479925404222838
"155","Quadratic-ALM",35,0.450071168648044
"156","Quadratic-ALM",36,0.430165575789747
"157","Quadratic-ALM",37,0.408337667271347
"158","Quadratic-ALM",38,0.389653641414559
"159","Quadratic-ALM",39,0.375127380352635
"160","Quadratic-ALM",40,0.362640294037998
"161","Quadratic-ALC",1,4110.46096137799
"162","Quadratic-ALC",2,271.430796423078
"163","Quadratic-ALC",3,12.5488924454504
"164","Quadratic-ALC",4,8.40844249816118
"165","Quadratic-ALC",5,6.84074457199063
"166","Quadratic-ALC",6,5.8674093796079
"167","Quadratic-ALC",7,5.30681069135049
"168","Quadratic-ALC",8,4.99305668680079
"169","Quadratic-ALC",9,4.74764388075427
"170","Quadratic-ALC",10,4.54931996373747
"171","Quadratic-ALC",11,4.39697079299794
"172","Quadratic-ALC",12,4.22214350637139
"173","Quadratic-ALC",13,4.16669969624012
"174","Quadratic-ALC",14,4.04795068810308
"175","Quadratic-ALC",15,3.98596931944118
"176","Quadratic-ALC",16,3.91797085146287
"177","Quadratic-ALC",17,3.84702128633321
"178","Quadratic-ALC",18,3.80325257622389
"179","Quadratic-ALC",19,3.77651057542527
"180","Quadratic-ALC",20,3.74663975702187
"181","Quadratic-ALC",21,3.71795691251842
"182","Quadratic-ALC",22,3.70564345331938
"183","Quadratic-ALC",23,3.68043189423117
"184","Quadratic-ALC",24,3.65125533557855
"185","Quadratic-ALC",25,3.63298408282609
"186","Quadratic-ALC",26,3.61464286215123
"187","Quadratic-ALC",27,3.60510900413303
"188","Quadratic-ALC",28,3.59614282755126
"189","Quadratic-ALC",29,3.59040143426829
"190","Quadratic-ALC",30,3.57954578491744
"191","Quadratic-ALC",31,3.53457966618274
"192","Quadratic-ALC",32,3.51815492796707
"193","Quadratic-ALC",33,3.5055560551753
"194","Quadratic-ALC",34,3.50060819218582
"195","Quadratic-ALC",35,3.49100746448049
"196","Quadratic-ALC",36,3.48778895243887
"197","Quadratic-ALC",37,3.48481944923319
"198","Quadratic-ALC",38,3.47755537683857
"199","Quadratic-ALC",39,3.46591344835517
"200","Quadratic-ALC",40,3.45973053509548
"201","Cubic-ALM",1,299350.646600325
"202","Cubic-ALM",2,28.2335772765376
"203","Cubic-ALM",3,17.3643761481803
"204","Cubic-ALM",4,13.3418044370063
"205","Cubic-ALM",5,11.7756729913939
"206","Cubic-ALM",6,10.4541054116642
"207","Cubic-ALM",7,8.98002222442505
"208","Cubic-ALM",8,7.68065751902337
"209","Cubic-ALM",9,7.06770698001276
"210","Cubic-ALM",10,6.03447011413653
"211","Cubic-ALM",11,4.99827695562229
"212","Cubic-ALM",12,4.43370368936726
"213","Cubic-ALM",13,4.13281244931305
"214","Cubic-ALM",14,3.57289814399104
"215","Cubic-ALM",15,3.16547003920104
"216","Cubic-ALM",16,2.93029490358714
"217","Cubic-ALM",17,2.63844248479897
"218","Cubic-ALM",18,2.39653888999333
"219","Cubic-ALM",19,2.23115246844439
"220","Cubic-ALM",20,2.02799536043237
"221","Cubic-ALM",21,1.92069443682306
"222","Cubic-ALM",22,1.71981388977922
"223","Cubic-ALM",23,1.6213748851177
"224","Cubic-ALM",24,1.4855569657617
"225","Cubic-ALM",25,1.40616842837449
"226","Cubic-ALM",26,1.32078963629631
"227","Cubic-ALM",27,1.22260970211527
"228","Cubic-ALM",28,1.15526023653275
"229","Cubic-ALM",29,1.07980825067837
"230","Cubic-ALM",30,1.03191777938348
"231","Cubic-ALM",31,0.957003115339414
"232","Cubic-ALM",32,0.89562587810233
"233","Cubic-ALM",33,0.864488141494899
"234","Cubic-ALM",34,0.806860903818725
"235","Cubic-ALM",35,0.772892128907356
"236","Cubic-ALM",36,0.739232858993166
"237","Cubic-ALM",37,0.705068079711665
"238","Cubic-ALM",38,0.676876035174893
"239","Cubic-ALM",39,0.650057872804761
"240","Cubic-ALM",40,0.614933992499593
"241","Cubic-ALC",1,35737.8072844484
"242","Cubic-ALC",2,53.5235899744835
"243","Cubic-ALC",3,23.446593389749
"244","Cubic-ALC",4,10.6635322513308
"245","Cubic-ALC",5,8.66493309308984
"246","Cubic-ALC",6,7.6304337203127
"247","Cubic-ALC",7,6.73103607679568
"248","Cubic-ALC",8,6.32630604395597
"249","Cubic-ALC",9,6.01193519042964
"250","Cubic-ALC",10,5.69514497450236
"251","Cubic-ALC",11,5.57421404687703
"252","Cubic-ALC",12,5.47353818095505
"253","Cubic-ALC",13,5.42501018534696
"254","Cubic-ALC",14,5.31272254535752
"255","Cubic-ALC",15,5.08464347595434
"256","Cubic-ALC",16,5.03064569619949
"257","Cubic-ALC",17,4.99590863434367
"258","Cubic-ALC",18,4.8973648690468
"259","Cubic-ALC",19,4.82268082193285
"260","Cubic-ALC",20,4.80698822304745
"261","Cubic-ALC",21,4.8003350166962
"262","Cubic-ALC",22,4.7897093287907
"263","Cubic-ALC",23,4.73703048820086
"264","Cubic-ALC",24,4.71180680165479
"265","Cubic-ALC",25,4.7095625806579
"266","Cubic-ALC",26,4.70034793243605
"267","Cubic-ALC",27,4.67609708300895
"268","Cubic-ALC",28,4.66913811062041
"269","Cubic-ALC",29,4.67010320812039
"270","Cubic-ALC",30,4.66815190062281
"271","Cubic-ALC",31,4.621705181743
"272","Cubic-ALC",32,4.58915035391282
"273","Cubic-ALC",33,4.5766654624226
"274","Cubic-ALC",34,4.57921113817147
"275","Cubic-ALC",35,4.5474932693795
"276","Cubic-ALC",36,4.54430741844792
"277","Cubic-ALC",37,4.53176047195063
