,alpha,mu,weight
0,0.01,0.700160487327,0.01
1,0.01,0.289318926183,0.02
2,0.01,0.208228940956,0.03
3,0.01,0.240775234706,0.04
4,0.01,0.0,0.05
5,0.01,0.0,0.06
6,0.01,0.0,0.07
7,0.01,0.0,0.08
8,0.01,0.0,0.09
9,0.01,0.0,0.1
10,0.01,0.0,0.11
11,0.01,0.0,0.12
12,0.01,0.0,0.13
13,0.01,0.0,0.14
14,0.01,0.0,0.15
15,0.01,0.0,0.16
16,0.01,0.0,0.17
17,0.01,0.0,0.18
18,0.01,0.0,0.19
19,0.01,0.0,0.2
20,0.01,0.0,0.21
21,0.01,0.0,0.22
22,0.01,0.0,0.23
23,0.01,0.0,0.24
24,0.01,0.0,0.25
25,0.01,0.0,0.26
26,0.01,0.0,0.27
27,0.01,0.0,0.28
28,0.01,0.0,0.29
29,0.01,0.0,0.3
30,0.01,0.0,0.31
31,0.01,0.0,0.32
32,0.01,0.0,0.33
33,0.01,0.0,0.34
34,0.01,0.0,0.35
35,0.01,0.0,0.36
36,0.01,0.0,0.37
37,0.01,0.0,0.38
38,0.01,0.0,0.39
39,0.01,0.0,0.4
40,0.01,0.0,0.41
41,0.01,0.0,0.42
42,0.01,0.0,0.43
43,0.01,0.0,0.44
44,0.01,0.0,0.45
45,0.01,0.0,0.46
46,0.01,0.0,0.47
47,0.01,0.0,0.48
48,0.01,0.0,0.49
49,0.01,0.0,0.5
50,0.01,0.0,0.51
51,0.01,0.0,0.52
52,0.01,0.0,0.53
53,0.01,0.0,0.54
54,0.01,0.0,0.55
55,0.01,0.0,0.56
56,0.01,0.0,0.57
57,0.01,0.0,0.58
58,0.01,0.0,0.59
59,0.01,0.0,0.6
60,0.01,0.0,0.61
61,0.01,0.0,0.62
62,0.01,0.0,0.63
63,0.01,0.0,0.64
64,0.01,0.0,0.65
65,0.01,0.0,0.66
66,0.01,0.0,0.67
67,0.01,0.0,0.68
68,0.01,0.0,0.69
69,0.01,0.0,0.7
70,0.01,0.0,0.71
71,0.01,0.0,0.72
72,0.01,0.0,0.73
73,0.01,0.0,0.74
74,0.01,0.0,0.75
75,0.01,0.0,0.76
76,0.01,0.0,0.77
77,0.01,0.0,0.78
78,0.01,0.0,0.79
79,0.01,0.0,0.8
80,0.01,0.0,0.81
81,0.01,0.0,0.82
82,0.01,0.0,0.83
83,0.01,0.0,0.84
84,0.01,0.0,0.85
85,0.01,0.0,0.86
86,0.01,0.0,0.87
87,0.01,0.0,0.88
88,0.01,0.0,0.89
89,0.01,0.0,0.9
90,0.01,0.0,0.91
91,0.01,0.0,0.92
92,0.01,0.0,0.93
93,0.01,0.0,0.94
94,0.01,0.0,0.95
95,0.01,0.0,0.96
96,0.01,0.0,0.97
97,0.01,0.0,0.98
98,0.01,0.0,0.99
99,0.02,0.0,0.01
100,0.02,0.0,0.02
101,0.02,0.0,0.03
102,0.02,0.0,0.04
103,0.02,0.0,0.05
104,0.02,0.0,0.06
105,0.02,0.0,0.07
106,0.02,0.0,0.08
107,0.02,0.0,0.09
108,0.02,0.0,0.1
109,0.02,0.0,0.11
110,0.02,0.0,0.12
111,0.02,0.0,0.13
112,0.02,0.0,0.14
113,0.02,0.0,0.15
114,0.02,0.0,0.16
115,0.02,0.0,0.17
116,0.02,0.0,0.18
117,0.02,0.0,0.19
118,0.02,0.0,0.2
119,0.02,0.0,0.21
120,0.02,0.0,0.22
121,0.02,0.0,0.23
