"","Method","Sequence","MSE"
"139","Quadratic-UCB",19,2.19388845410824
"140","Quadratic-UCB",20,2.25718761203677
"141","Quadratic-UCB",21,2.20818509562232
"142","Quadratic-UCB",22,2.22160176228899
"143","Quadratic-UCB",23,2.25718509562232
"144","Quadratic-UCB",24,2.22004658799625
"145","Quadratic-UCB",25,2.1685209453701
"146","Quadratic-UCB",26,2.33068509562232
"147","Quadratic-UCB",27,2.20351842895566
"148","Quadratic-UCB",28,2.16560176228899
"149","Quadratic-UCB",29,2.21985176228899
"150","Quadratic-UCB",30,2.21110176228899
"151","Quadratic-UCB",31,2.19126842895566
"152","Quadratic-UCB",32,2.13410176228899
"153","Quadratic-UCB",33,2.13818509562232
"154","Quadratic-UCB",34,2.09268509562232
"155","Quadratic-UCB",35,2.12826842895566
"156","Quadratic-UCB",36,2.10318509562232
"157","Quadratic-UCB",37,2.09151842895566
"158","Quadratic-UCB",38,2.06935176228899
"159","Quadratic-UCB",39,2.12535176228899
"160","Quadratic-UCB",40,2.07110176228899
"161","Quadratic-Thompson",1,2.98827549789099
"162","Quadratic-Thompson",2,2.99340778497592
"163","Quadratic-Thompson",3,2.87347407097335
"164","Quadratic-Thompson",4,2.80395380491225
"165","Quadratic-Thompson",5,2.77638744934947
"166","Quadratic-Thompson",6,2.5788741604805
"167","Quadratic-Thompson",7,2.74596343780804
"168","Quadratic-Thompson",8,2.61233985277959
"169","Quadratic-Thompson",9,2.64553285539408
"170","Quadratic-Thompson",10,2.6197621529927
"171","Quadratic-Thompson",11,2.48505363612191
"172","Quadratic-Thompson",12,2.64534225279066
"173","Quadratic-Thompson",13,2.67604542439838
"174","Quadratic-Thompson",14,2.58600416922629
"175","Quadratic-Thompson",15,2.59663122114142
"176","Quadratic-Thompson",16,2.55517302733845
"177","Quadratic-Thompson",17,2.63004222236125
"178","Quadratic-Thompson",18,2.5638568579877
"179","Quadratic-Thompson",19,2.71359319422555
"180","Quadratic-Thompson",20,2.37917657934287
"181","Quadratic-Thompson",21,2.40392734103963
"182","Quadratic-Thompson",22,2.48194871502357
"183","Quadratic-Thompson",23,2.49542745161054
"184","Quadratic-Thompson",24,2.53758417873291
"185","Quadratic-Thompson",25,2.43644300805356
"186","Quadratic-Thompson",26,2.46203632393294
"187","Quadratic-Thompson",27,2.49901510890034
"188","Quadratic-Thompson",28,2.44225745705173
"189","Quadratic-Thompson",29,2.40979187797223
"190","Quadratic-Thompson",30,2.38310715930786
"191","Quadratic-Thompson",31,2.37925292894823
"192","Quadratic-Thompson",32,2.3513711388099
"193","Quadratic-Thompson",33,2.37804566030633
"194","Quadratic-Thompson",34,2.45084913400008
"195","Quadratic-Thompson",35,2.46119552389449
"196","Quadratic-Thompson",36,2.45912442813113
"197","Quadratic-Thompson",37,2.41119530165787
"198","Quadratic-Thompson",38,2.37096284553322
"199","Quadratic-Thompson",39,2.40547092029775
"200","Quadratic-Thompson",40,2.48342646909658
"201","Cubic-UCB",1,2.90270675769603
"202","Cubic-UCB",2,2.80108025322838
