,alpha,mu,weight
0,0.01,1.65621784604,0.01
1,0.01,2.03215941243,0.02
2,0.01,2.47395906441,0.03
3,0.01,2.9628702429,0.04
4,0.01,3.47289500539,0.05
5,0.01,3.9746021436,0.06
6,0.01,4.44078311677,0.07
7,0.01,4.84641165987,0.08
8,0.01,5.1676107813,0.09
9,0.01,5.38166583603,0.1
10,0.01,5.46741036621,0.11
11,0.01,5.40714156259,0.12
12,0.01,5.18972160677,0.13
13,0.01,4.81197933364,0.14
14,0.01,4.28768176975,0.15
15,0.01,3.65633020363,0.16
16,0.01,2.97584909604,0.17
17,0.01,2.30616954671,0.18
18,0.01,1.6987186201,0.19
19,0.01,1.19124241947,0.2
20,0.01,0.806601700101,0.21
21,0.01,0.553270804261,0.22
22,0.01,0.423645280866,0.23
23,0.01,0.396129511744,0.24
24,0.01,0.440999261447,0.25
25,0.01,0.52716007373,0.26
26,0.01,0.628108960808,0.27
27,0.01,0.725492713391,0.28
28,0.01,0.809821434591,0.29
29,0.01,0.881767765461,0.3
30,0.01,0.950971251829,0.31
31,0.01,1.02684779534,0.32
32,0.01,1.11275618988,0.33
33,0.01,1.2041560814,0.34
34,0.01,1.28964240993,0.35
35,0.01,1.35309912106,0.36
36,0.01,1.37968113366,0.37
37,0.01,1.36507624091,0.38
38,0.01,1.32011739214,0.39
39,0.01,1.26409306105,0.4
40,0.01,1.21393751524,0.41
41,0.01,1.17654313076,0.42
42,0.01,1.14671304562,0.43
43,0.01,1.11115010785,0.44
44,0.01,1.05436183481,0.45
45,0.01,0.966435878641,0.46
46,0.01,0.850928188788,0.47
47,0.01,0.722336889105,0.48
48,0.01,0.599191000156,0.49
49,0.01,0.497579042754,0.5
50,0.01,0.427270220743,0.51
51,0.01,0.391624304337,0.52
52,0.01,0.389247640372,0.53
53,0.01,0.415555853313,0.54
54,0.01,0.462904637455,0.55
55,0.01,0.521341054376,0.56
56,0.01,0.580322820958,0.57
57,0.01,0.630470369977,0.58
58,0.01,0.663807344626,0.59
59,0.01,0.675091117974,0.6
60,0.01,0.664455357909,0.61
61,0.01,0.64029787281,0.62
62,0.01,0.620568579493,0.63
63,0.01,0.63138546466,0.64
64,0.01,0.702608946997,0.65
65,0.01,0.862434218804,0.66
66,0.01,1.13157410602,0.67
67,0.01,1.5156655553,0.68
68,0.01,2.00011408064,0.69
69,0.01,2.55191490404,0.7
70,0.01,3.12824692634,0.71
71,0.01,3.68730990178,0.72
72,0.01,4.1974906904,0.73
73,0.01,4.6412623945,0.74
74,0.01,5.01341378202,0.75
75,0.01,5.31551540447,0.76
76,0.01,5.55104438193,0.77
77,0.01,5.7259239076,0.78
78,0.01,5.85043629852,0.79
79,0.01,5.93991200741,0.8
80,0.01,6.01435989506,0.81
81,0.01,6.09647421666,0.82
82,0.01,6.20809828363,0.83
83,0.01,6.36706671794,0.84
84,0.01,6.58724144282,0.85
85,0.01,6.87966385508,0.86
86,0.01,7.25372997072,0.87
87,0.01,7.71711667372,0.88
88,0.01,8.27212436942,0.89
89,0.01,8.9117068904,0.9
90,0.01,9.61740477729,0.91
91,0.01,10.3601992732,0.92
92,0.01,11.1051084058,0.93
93,0.01,11.8173167865,0.94
94,0.01,12.4675316303,0.95
95,0.01,13.0352471103,0.96
96,0.01,13.5095716569,0.97
97,0.01,13.8879631121,0.98
98,0.01,14.1732481025,0.99
99,0.02,0.914095715817,0.01
100,0.02,1.39588499857,0.02
101,0.02,2.01410036387,0.03
102,0.02,2.75075256868,0.04
103,0.02,3.57520619907,0.05
104,0.02,4.44663844534,0.06
105,0.02,5.31935480544,0.07
106,0.02,6.14569173062,0.08
107,0.02,6.8769683888,0.09
108,0.02,7.4633228125,0.1
109,0.02,7.85382040254,0.11
110,0.02,8.00076234801,0.12
111,0.02,7.86957383702,0.13
112,0.02,7.4513616579,0.14
113,0.02,6.77586846338,0.15
114,0.02,5.91286869694,0.16
115,0.02,4.95504684989,0.17
116,0.02,3.99486389693,0.18
117,0.02,3.10943614507,0.19
118,0.02,2.35378544837,0.2
119,0.02,1.75970107284,0.21
120,0.02,1.33682698838,0.22
121,0.02,1.07374398648,0.23
122,0.02,0.943118197812,0.24
123,0.02,0.909929328115,0.25
124,0.02,0.939520760907,0.26
125,0.02,1.00365232429,0.27
126,0.02,1.0827299404,0.28
127,0.02,1.16561953908,0.29
128,0.02,1.24990667672,0.3
129,0.02,1.33979019369,0.31
130,0.02,1.43871049195,0.32
131,0.02,1.54423561122,0.33
132,0.02,1.6470119434,0.34
133,0.02,1.73225200631,0.35
134,0.02,1.7825555741,0.36
135,0.02,1.78392994544,0.37
136,0.02,1.73429320169,0.38
137,0.02,1.64707033201,0.39
138,0.02,1.54438748337,0.4
139,0.02,1.44595215919,0.41
140,0.02,1.36113490242,0.42
141,0.02,1.28708817959,0.43
142,0.02,1.21249693252,0.44
