"","Method","Sequence","MSE"
"141","Quadratic-ALM",21,20.8755748097301
"142","Quadratic-ALM",22,20.8995805359889
"143","Quadratic-ALM",23,20.7982550216699
"144","Quadratic-ALM",24,20.8299745094909
"145","Quadratic-ALM",25,20.8778016798326
"146","Quadratic-ALM",26,20.7995960096365
"147","Quadratic-ALM",27,20.7341383987323
"148","Quadratic-ALM",28,20.735322593034
"149","Quadratic-ALM",29,20.677647142409
"150","Quadratic-ALM",30,20.6327714205312
"151","Quadratic-ALM",31,20.5977028866195
"152","Quadratic-ALM",32,20.6265619456381
"153","Quadratic-ALM",33,20.6369603917815
"154","Quadratic-ALM",34,20.6332468658858
"155","Quadratic-ALM",35,20.6141999816793
"156","Quadratic-ALM",36,20.584832960696
"157","Quadratic-ALM",37,20.5826351113722
"158","Quadratic-ALM",38,20.5925759375884
"159","Quadratic-ALM",39,20.6087584755991
"160","Quadratic-ALM",40,20.6093128224195
"161","Quadratic-ALC",1,361143.609249168
"162","Quadratic-ALC",2,1997.36444861038
"163","Quadratic-ALC",3,27.3400611928028
"164","Quadratic-ALC",4,20.9676794814565
"165","Quadratic-ALC",5,18.7870505027656
"166","Quadratic-ALC",6,17.2378840898648
"167","Quadratic-ALC",7,16.276183590479
"168","Quadratic-ALC",8,15.7301961189225
"169","Quadratic-ALC",9,15.1549544913294
"170","Quadratic-ALC",10,14.6488347789544
"171","Quadratic-ALC",11,14.2924406275165
"172","Quadratic-ALC",12,13.9456723510774
"173","Quadratic-ALC",13,13.7719073801742
"174","Quadratic-ALC",14,13.6514583429914
"175","Quadratic-ALC",15,13.4537584225612
"176","Quadratic-ALC",16,13.2172209835226
"177","Quadratic-ALC",17,13.0943870857501
"178","Quadratic-ALC",18,13.0338395335777
"179","Quadratic-ALC",19,12.9542742961373
"180","Quadratic-ALC",20,12.8342344505867
"181","Quadratic-ALC",21,12.7228735741878
"182","Quadratic-ALC",22,12.5988408918943
"183","Quadratic-ALC",23,12.4685562287363
"184","Quadratic-ALC",24,12.3522250894564
"185","Quadratic-ALC",25,12.2266913430543
"186","Quadratic-ALC",26,12.1426477462897
"187","Quadratic-ALC",27,12.0774321679964
"188","Quadratic-ALC",28,12.0081565546022
"189","Quadratic-ALC",29,11.9193501133188
"190","Quadratic-ALC",30,11.868680220073
"191","Quadratic-ALC",31,11.8067420755031
"192","Quadratic-ALC",32,11.7770495392369
"193","Quadratic-ALC",33,11.6981118778656
"194","Quadratic-ALC",34,11.6442429467067
"195","Quadratic-ALC",35,11.6550243342278
"196","Quadratic-ALC",36,11.6238328725506
"197","Quadratic-ALC",37,11.6215330046175
"198","Quadratic-ALC",38,11.6051730624348
"199","Quadratic-ALC",39,11.5749131852371
"200","Quadratic-ALC",40,11.5357739280533
"201","Cubic-ALM",1,26754.5943709852
"202","Cubic-ALM",2,30.6308265201727
"203","Cubic-ALM",3,24.8697963537588
"204","Cubic-ALM",4,21.2432383358395
"205","Cubic-ALM",5,19.7542828194209
"206","Cubic-ALM",6,17.8339597915853
"207","Cubic-ALM",7,15.1203991723406
"208","Cubic-ALM",8,13.6602468007378
"209","Cubic-ALM",9,13.0093272218104
"210","Cubic-ALM",10,11.541790526859
"211","Cubic-ALM",11,10.7377193383327
"212","Cubic-ALM",12,10.2111420683852
"213","Cubic-ALM",13,9.89324694609754
"214","Cubic-ALM",14,9.28902476256697
"215","Cubic-ALM",15,9.02247388588204
"216","Cubic-ALM",16,8.84980711516122
"217","Cubic-ALM",17,8.71303020772526
"218","Cubic-ALM",18,8.57866239894703
"219","Cubic-ALM",19,8.49800444607559
"220","Cubic-ALM",20,8.40846612709638
"221","Cubic-ALM",21,8.39179879868726
"222","Cubic-ALM",22,8.36462096442617
"223","Cubic-ALM",23,8.32604166443634
"224","Cubic-ALM",24,8.35480528827179
"225","Cubic-ALM",25,8.34062159268135
"226","Cubic-ALM",26,8.33256223344418
"227","Cubic-ALM",27,8.35566411011298
"228","Cubic-ALM",28,8.36785534822575
"229","Cubic-ALM",29,8.39484802982022
