"","Method","Sequence","MSE"
"154","Quadratic-UCB",34,0.546994999999999
"155","Quadratic-UCB",35,0.517266
"156","Quadratic-UCB",36,0.553319
"157","Quadratic-UCB",37,0.448291
"158","Quadratic-UCB",38,0.446028
"159","Quadratic-UCB",39,0.377084
"160","Quadratic-UCB",40,0.371287
"161","Quadratic-Thompson",1,4.566083
"162","Quadratic-Thompson",2,4.777751
"163","Quadratic-Thompson",3,3.866382
"164","Quadratic-Thompson",4,3.559048
"165","Quadratic-Thompson",5,2.942427
"166","Quadratic-Thompson",6,2.829866
"167","Quadratic-Thompson",7,2.573341
"168","Quadratic-Thompson",8,2.17093
"169","Quadratic-Thompson",9,1.94463
"170","Quadratic-Thompson",10,1.761141
"171","Quadratic-Thompson",11,1.409942
"172","Quadratic-Thompson",12,1.413755
"173","Quadratic-Thompson",13,1.308696
"174","Quadratic-Thompson",14,1.232622
"175","Quadratic-Thompson",15,1.232188
"176","Quadratic-Thompson",16,1.046963
"177","Quadratic-Thompson",17,1.067392
"178","Quadratic-Thompson",18,0.932572999999999
"179","Quadratic-Thompson",19,0.933782
"180","Quadratic-Thompson",20,0.885143
"181","Quadratic-Thompson",21,0.770659999999999
"182","Quadratic-Thompson",22,0.822151
"183","Quadratic-Thompson",23,0.679396
"184","Quadratic-Thompson",24,0.693501
"185","Quadratic-Thompson",25,0.712441999999999
"186","Quadratic-Thompson",26,0.689160999999999
"187","Quadratic-Thompson",27,0.598299999999999
"188","Quadratic-Thompson",28,0.502013999999999
"189","Quadratic-Thompson",29,0.565967
"190","Quadratic-Thompson",30,0.441718999999999
"191","Quadratic-Thompson",31,0.486420999999999
"192","Quadratic-Thompson",32,0.455886
"193","Quadratic-Thompson",33,0.457312
"194","Quadratic-Thompson",34,0.474454999999999
"195","Quadratic-Thompson",35,0.444291999999999
"196","Quadratic-Thompson",36,0.458645
"197","Quadratic-Thompson",37,0.44516
"198","Quadratic-Thompson",38,0.474175999999999
"199","Quadratic-Thompson",39,0.471727
"200","Quadratic-Thompson",40,0.450646999999999
"201","Cubic-UCB",1,6.223529
"202","Cubic-UCB",2,5.998717
"203","Cubic-UCB",3,4.901689
"204","Cubic-UCB",4,4.306334
"205","Cubic-UCB",5,3.589397
"206","Cubic-UCB",6,3.082919
"207","Cubic-UCB",7,2.548324
"208","Cubic-UCB",8,2.351753
"209","Cubic-UCB",9,2.449744
"210","Cubic-UCB",10,2.362231
"211","Cubic-UCB",11,2.074768
"212","Cubic-UCB",12,2.065437
"213","Cubic-UCB",13,1.853645
"214","Cubic-UCB",14,1.912607
"215","Cubic-UCB",15,1.839261
"216","Cubic-UCB",16,1.85876
"217","Cubic-UCB",17,1.969306
"218","Cubic-UCB",18,1.817375
"219","Cubic-UCB",19,1.783647
"220","Cubic-UCB",20,1.698397
"221","Cubic-UCB",21,1.755592
"222","Cubic-UCB",22,1.674744
"223","Cubic-UCB",23,1.637172
"224","Cubic-UCB",24,1.664421
"225","Cubic-UCB",25,1.625919
"226","Cubic-UCB",26,1.554898
"227","Cubic-UCB",27,1.591788
"228","Cubic-UCB",28,1.519496
"229","Cubic-UCB",29,1.534283
