"","Method","Sequence","MSE"
"141","Quadratic-ALM",21,5.23345335220625
"142","Quadratic-ALM",22,5.19104927524304
"143","Quadratic-ALM",23,5.10624139109008
"144","Quadratic-ALM",24,5.05196768834929
"145","Quadratic-ALM",25,5.0404071822008
"146","Quadratic-ALM",26,4.99473706671628
"147","Quadratic-ALM",27,4.93697055810653
"148","Quadratic-ALM",28,4.91135890066958
"149","Quadratic-ALM",29,4.87744996372595
"150","Quadratic-ALM",30,4.84351867901626
"151","Quadratic-ALM",31,4.85208790375116
"152","Quadratic-ALM",32,4.83539280948453
"153","Quadratic-ALM",33,4.80135098072989
"154","Quadratic-ALM",34,4.76834040372159
"155","Quadratic-ALM",35,4.75924056433061
"156","Quadratic-ALM",36,4.74730216478781
"157","Quadratic-ALM",37,4.72248938448039
"158","Quadratic-ALM",38,4.71727550902475
"159","Quadratic-ALM",39,4.70874783965837
"160","Quadratic-ALM",40,4.68881014812183
"161","Quadratic-ALC",1,1795.00530428722
"162","Quadratic-ALC",2,148.350619890814
"163","Quadratic-ALC",3,18.6502867192705
"164","Quadratic-ALC",4,11.6428527983619
"165","Quadratic-ALC",5,8.17141672786467
"166","Quadratic-ALC",6,6.47739274935423
"167","Quadratic-ALC",7,5.73197999780974
"168","Quadratic-ALC",8,5.19246174306888
"169","Quadratic-ALC",9,4.87211404381727
"170","Quadratic-ALC",10,4.59873327512155
"171","Quadratic-ALC",11,4.42321755937959
"172","Quadratic-ALC",12,4.38636594022474
"173","Quadratic-ALC",13,4.22729277739275
"174","Quadratic-ALC",14,4.16137654108883
"175","Quadratic-ALC",15,4.10108786258652
"176","Quadratic-ALC",16,4.0399078686748
"177","Quadratic-ALC",17,4.01582145702434
"178","Quadratic-ALC",18,3.99689253777885
"179","Quadratic-ALC",19,3.98165507115844
"180","Quadratic-ALC",20,3.96625203578939
"181","Quadratic-ALC",21,3.94461742593274
"182","Quadratic-ALC",22,3.92853187485147
"183","Quadratic-ALC",23,3.91664416231666
"184","Quadratic-ALC",24,3.8828211889146
"185","Quadratic-ALC",25,3.86539508193682
"186","Quadratic-ALC",26,3.8199236012071
"187","Quadratic-ALC",27,3.80164460299237
"188","Quadratic-ALC",28,3.78568501741991
"189","Quadratic-ALC",29,3.76320013556627
"190","Quadratic-ALC",30,3.75808248378085
"191","Quadratic-ALC",31,3.73741841276797
"192","Quadratic-ALC",32,3.72870920323291
"193","Quadratic-ALC",33,3.72212328802171
"194","Quadratic-ALC",34,3.70635877868828
"195","Quadratic-ALC",35,3.68540227847321
"196","Quadratic-ALC",36,3.66759674107388
"197","Quadratic-ALC",37,3.65827241492254
"198","Quadratic-ALC",38,3.65169107947972
"199","Quadratic-ALC",39,3.64207235848103
"200","Quadratic-ALC",40,3.63429117632768
"201","Cubic-ALM",1,5712136.21762413
"202","Cubic-ALM",2,38.7974672661406
"203","Cubic-ALM",3,19.2271358045241
"204","Cubic-ALM",4,15.8529260697167
"205","Cubic-ALM",5,14.1583654804027
"206","Cubic-ALM",6,11.8944835794043
"207","Cubic-ALM",7,9.26414852396854
"208","Cubic-ALM",8,8.08659707227639
"209","Cubic-ALM",9,7.58615674148391
"210","Cubic-ALM",10,6.34336604760295
"211","Cubic-ALM",11,5.158099498748
"212","Cubic-ALM",12,4.67384360148293
"213","Cubic-ALM",13,4.34035075189599
"214","Cubic-ALM",14,3.69088488434812
"215","Cubic-ALM",15,3.24409152254047
"216","Cubic-ALM",16,2.9795018699254
"217","Cubic-ALM",17,2.80776369442438
"218","Cubic-ALM",18,2.49430646469161
"219","Cubic-ALM",19,2.24443830078242
"220","Cubic-ALM",20,2.06202179323649
"221","Cubic-ALM",21,1.93614615202755
"222","Cubic-ALM",22,1.7796164397041
"223","Cubic-ALM",23,1.68082532156564
"224","Cubic-ALM",24,1.55316164120314
"225","Cubic-ALM",25,1.47231606044559
"226","Cubic-ALM",26,1.3742630623781
"227","Cubic-ALM",27,1.30667231075454
"228","Cubic-ALM",28,1.24526004338087
"229","Cubic-ALM",29,1.1971473013012
"230","Cubic-ALM",30,1.12935779768014
"231","Cubic-ALM",31,1.07330235522438
"232","Cubic-ALM",32,1.00897031418248
"233","Cubic-ALM",33,0.940868148347896
"234","Cubic-ALM",34,0.884402210350459
"235","Cubic-ALM",35,0.836155767669326
"236","Cubic-ALM",36,0.799328112298177
"237","Cubic-ALM",37,0.769992413338405
"238","Cubic-ALM",38,0.729616072033056
"239","Cubic-ALM",39,0.688544674413893
"240","Cubic-ALM",40,0.649542741219921
"241","Cubic-ALC",1,93805.7330905677
"242","Cubic-ALC",2,67.606630121984
"243","Cubic-ALC",3,20.7749982005744
"244","Cubic-ALC",4,12.1149673479458
"245","Cubic-ALC",5,9.42242054871906
"246","Cubic-ALC",6,7.84587894419724
"247","Cubic-ALC",7,7.09961801172102
"248","Cubic-ALC",8,6.48497709869712
"249","Cubic-ALC",9,5.95157584828545
"250","Cubic-ALC",10,5.83264599521496
"251","Cubic-ALC",11,5.59150879127389
"252","Cubic-ALC",12,5.29338571014897
"253","Cubic-ALC",13,5.15649544331243
"254","Cubic-ALC",14,5.02335313204432
"255","Cubic-ALC",15,4.91940069883435
"256","Cubic-ALC",16,4.81619933039846
"257","Cubic-ALC",17,4.75124792851791
"258","Cubic-ALC",18,4.65519959345604
"259","Cubic-ALC",19,4.60950365137052
"260","Cubic-ALC",20,4.55056237919936
"261","Cubic-ALC",21,4.47706161443891
"262","Cubic-ALC",22,4.47079866762326
"263","Cubic-ALC",23,4.39695527281512
"264","Cubic-ALC",24,4.37040606707623
"265","Cubic-ALC",25,4.35254094601543
"266","Cubic-ALC",26,4.29313638187004
"267","Cubic-ALC",27,4.2603491991018
"268","Cubic-ALC",28,4.23012256440812
"269","Cubic-ALC",29,4.19810284641875
"270","Cubic-ALC",30,4.17028870230958
"271","Cubic-ALC",31,4.15837456068506
"272","Cubic-ALC",32,4.12667269945809
"273","Cubic-ALC",33,4.10775782999742
"274","Cubic-ALC",34,4.08967803213611
"275","Cubic-ALC",35,4.08926018535379
"276","Cubic-ALC",36,4.06954610590792
"277","Cubic-ALC",37,4.04282870631966
"278","Cubic-ALC",38,4.03344133749833
"279","Cubic-ALC",39,4.01516219501715
"280","Cubic-ALC",40,4.01325699442454
"281","Tree-ALM",1,27.8949496693147
"282","Tree-ALM",2,13.7551626712398
"283","Tree-ALM",3,9.13297554940071
"284","Tree-ALM",4,6.71521523657253
"285","Tree-ALM",5,5.14725368707718
"286","Tree-ALM",6,4.32599582843796
"287","Tree-ALM",7,3.7659592531877
"288","Tree-ALM",8,3.37680249212603
"289","Tree-ALM",9,3.10500005784372
"290","Tree-ALM",10,2.92382338250362
"291","Tree-ALM",11,2.79206020558001
"292","Tree-ALM",12,2.66352672061975
"293","Tree-ALM",13,2.5509373506882
"294","Tree-ALM",14,2.45386808004314
"295","Tree-ALM",15,2.36750014946001
"296","Tree-ALM",16,2.32638203819119
"297","Tree-ALM",17,2.28907972530755
"298","Tree-ALM",18,2.25201682196499
"299","Tree-ALM",19,2.23859905675789
"300","Tree-ALM",20,2.20685197234646
"301","Tree-ALM",21,2.17950209990212
"302","Tree-ALM",22,2.16215874640897
"303","Tree-ALM",23,2.15262840299282
"304","Tree-ALM",24,2.1375988995739
"305","Tree-ALM",25,2.10923915322419
"306","Tree-ALM",26,2.09190980459302
"307","Tree-ALM",27,2.06883183811898
"308","Tree-ALM",28,2.05128374775048
"309","Tree-ALM",29,2.03576118342612
"310","Tree-ALM",30,2.01886736845903
"311","Tree-ALM",31,1.99190212860014
"312","Tree-ALM",32,1.98273482097112
"313","Tree-ALM",33,1.96268045440875
"314","Tree-ALM",34,1.94020343424579
"315","Tree-ALM",35,1.90396805844678
"316","Tree-ALM",36,1.86309914657264
"317","Tree-ALM",37,1.82076027450483
"318","Tree-ALM",38,1.79589319742633
"319","Tree-ALM",39,1.76228651848192
"320","Tree-ALM",40,1.72360421616169
"321","Tree-ALC",1,26.8832285003198
"322","Tree-ALC",2,11.9907747363761
"323","Tree-ALC",3,7.70063819421204
"324","Tree-ALC",4,5.6296687186996
"325","Tree-ALC",5,4.33394165152484
"326","Tree-ALC",6,3.60588567952258
"327","Tree-ALC",7,3.23463221147341
"328","Tree-ALC",8,2.92078051774236
"329","Tree-ALC",9,2.6963199412057
"330","Tree-ALC",10,2.57116139636272
"331","Tree-ALC",11,2.48335863693979
"332","Tree-ALC",12,2.43811069184953
"333","Tree-ALC",13,2.41391081773013
"334","Tree-ALC",14,2.37393450565859
"335","Tree-ALC",15,2.32323545883762
"336","Tree-ALC",16,2.25801785854487
"337","Tree-ALC",17,2.24038466256089
"338","Tree-ALC",18,2.22008510337437
"339","Tree-ALC",19,2.17657599004173
"340","Tree-ALC",20,2.13164655766862
"341","Tree-ALC",21,2.13142075519668
"342","Tree-ALC",22,2.08972913910848
"343","Tree-ALC",23,2.0886262314697
"344","Tree-ALC",24,2.06488496459122
"345","Tree-ALC",25,2.06677220054735
"346","Tree-ALC",26,2.05612720367722
"347","Tree-ALC",27,2.03690700560918
